name;maxspree;double;triple;quad;penta;ultra;god;kill normal;kill wrong;kill x2;death;steal;suicide (deprecated);shot;freeze;froze;hammer;hammered;avgping;wallshot;version;stolenfrom;max multi;green;gold;purple;kd;
knuffÃ¤l;14;1305;209;42;7;2;0;4782;37;4715;8992;1153;4009;67542;18361;19038;5810;3086;24;1905;11018;995;6;8;0;0;1,06;9542
Flam;17;1204;162;12;2;1;0;3250;97;6144;7430;1212;8056;76544;18067;16320;1470;2447;0;2217;11019;94;6;41;4;5;1,28;9541
MâÏâÆt;38;965;103;9;0;0;0;5203;89;4233;7044;1073;4713;63039;16722;14759;1287;2033;33;2304;0;690;4;10;0;3;1,35;9538
Konsti;30;1580;424;120;32;11;8;6504;58;2556;6281;1216;5540;50000;17231;12781;1522;1823;22;1326;10042;1068;9;112;271;2;1,51;9503
jo_;15;1199;194;34;6;2;0;5871;80;3319;7240;600;11239;82936;22304;16806;2530;2230;0;2688;11019;1177;6;144;44;11;1,31;9469
stower;14;836;94;12;3;1;1;3802;160;4820;8463;1170;15877;82870;21699;20424;1950;2338;27;2469;11019;1051;7;355;166;121;1,11;9424
IrisM;17;932;147;29;8;3;2;4854;253;4109;10319;1719;20420;122596;22277;25996;2133;2822;69;2729;0;759;8;111;36;0;0,91;9363
o--}====>;19;1042;136;12;1;1;1;3971;92;4581;8249;745;7069;73455;19225;16854;2262;2154;0;2432;11019;903;7;520;76;26;1,12;9266
á¦Ò½á§ÊÎ¹É±;15;856;107;11;2;0;0;3701;207;5089;10299;1351;19068;117389;23649;23422;4359;2536;31;3819;11003;1248;5;157;14;5;0,89;9173
zCrime;18;1003;142;25;3;2;1;4453;83;4267;8661;967;7875;78447;19273;19628;3743;2543;21;2401;11003;827;7;63;7;11;1,03;8884
NoyrEx;24;1128;165;28;7;2;0;3262;104;4759;5337;932;17926;57975;18544;12958;1910;1710;31;1519;0;930;6;609;29;20;1,65;8783
Banno;11;800;80;7;0;0;0;4859;82;3815;10367;1831;4843;77754;16506;21176;2067;3162;33;1834;0;601;4;1;0;0;0,84;8757
Infinity;30;1559;337;80;24;6;2;4413;40;4254;2997;1026;2259;44735;13742;6431;563;941;26;1182;0;595;8;1;8;5;2,91;8721
Socialdarwinist;16;931;165;30;7;3;1;5468;18;2632;8945;1569;12287;62402;19965;19527;3257;2666;17;1915;11003;1832;7;381;0;0;0,95;8499
defuq_-1;19;1446;336;77;19;6;1;5074;54;3149;4915;1884;4242;39214;11744;9975;1330;1605;3;1267;11019;559;7;113;1;5;1,71;8396
Knacker;30;1198;205;39;5;3;0;4340;62;3894;5424;1170;5250;71250;17482;12002;2324;1939;33;1756;11003;1086;6;4;0;0;1,53;8300
kaddy-1;17;916;119;12;3;1;0;1815;66;5807;6342;406;9115;54636;17049;14431;3698;1970;22;1351;11018;807;6;556;7;0;1,30;8251
Koyot;12;866;79;8;0;0;0;5301;51;2837;9894;1323;7622;94024;16685;19346;2876;2638;60;2535;0;1038;4;4;0;0;0,83;8193
Hydra;24;1432;298;69;16;1;0;3758;19;4256;3791;1198;1179;32029;11476;7466;1138;1096;25;847;11019;442;6;8;4;3;2,12;8048
RaÃia;15;720;88;15;1;0;0;3469;108;4296;8821;2355;24520;150068;20147;26082;3612;2926;27;3776;0;877;5;133;20;1;0,91;8027
Crysis;13;687;53;7;3;0;0;3982;21;3977;8990;732;10453;79517;14888;20474;2626;2893;41;2167;0;534;5;0;0;1;0,89;7981
ChillerDragon-2;37;1519;396;117;37;14;5;6795;420;731;6214;1677;1873;40933;13020;10653;380;1374;33;1274;11018;936;9;4;4;0;1,28;7954
noob-2;29;988;145;18;2;0;0;4454;64;3306;7601;466;6464;71087;18084;14576;2451;2152;0;2089;11019;1242;5;40;8;0;1,04;7872
S0PRAN0;21;1079;138;18;2;0;0;4273;65;3354;6410;521;3110;48314;14618;11493;1792;1382;56;1706;10060;1057;5;0;0;0;1,20;7692
Kenny;32;1146;188;33;10;7;5;3553;8;3911;4864;1026;1053;38003;11859;8987;1388;1261;36;767;0;665;8;0;0;0;1,54;7472
Atomic;24;992;156;20;2;0;0;3019;55;4067;4164;477;5213;44907;12652;9409;2098;1278;16;1457;11015;386;5;220;80;20;1,79;7461
ShÃ¸Ã¸tXen;33;1084;212;54;19;10;6;4502;24;2912;5417;688;4214;46991;13951;10438;1325;1306;21;1654;10086;924;8;0;1;1;1,37;7440
';13;898;134;15;4;0;0;3728;50;3112;7265;624;6292;52816;14886;13564;2055;1763;9;1654;11019;851;5;464;12;62;1,02;7428
Nubru;15;856;95;13;0;0;0;2080;55;5275;7401;1003;4552;48000;14133;15314;4186;2309;29;1342;11018;816;4;7;1;0;1,00;7418
Xiahuyo;14;984;158;29;3;3;0;4730;55;2585;6956;296;1213;39393;13433;13602;4105;1743;23;1454;0;121;6;1;0;0;1,06;7371
Colourmatic;28;1204;279;55;11;2;0;5580;63;1720;5254;933;2669;34459;13817;10804;2535;1597;8;935;10050;836;6;4;0;0;1,40;7367
LIBAN-1;20;1021;180;33;5;0;0;4939;50;2344;3589;642;3516;39772;13245;7268;905;952;0;1186;1001;649;5;10;0;0;2,05;7343
Ky Ky;26;1160;215;50;10;0;0;4043;27;3131;4762;677;3224;49990;14929;9934;2233;1566;20;1326;11019;1289;5;27;9;1;1,52;7238
Auster;17;973;161;35;5;1;0;5612;210;1373;5706;1486;5384;53782;13866;12865;4035;2305;30;1488;10035;1334;6;0;0;0;1,26;7195
